data,mes,sku,produto,marca,categoria,segmento,cidade,uf,regiao,canal,quantidade,preco_unitario,custo_unitario,receita,custo_total,margem_bruta
2024-01-01,2024-01,WGS-ROL-001,Roldana Cambio WG Sports Alu 11d,WG Sports,Componentes,Bike,Vitoria,ES,Sudeste,Distribuidores,1,39.0,13.65,39.0,13.65,25.35
2024-01-01,2024-01,HO-ACE-002,Luva HighOne Trail Gel,HighOne,Luvas,Bike,Campinas,SP,Sudeste,E-commerce,1,89.9,47.65,89.9,47.65,42.25
2024-01-01,2024-01,HO-ACE-004,Camiseta HighOne Dry-Fit Ciclismo,HighOne,Acessorios,Bike,Cuiaba,MT,Centro-Oeste,E-commerce,1,79.9,42.35,79.9,42.35,37.55
2024-01-01,2024-01,SCD-ACE-003,Capa de Chuva Scud Moto,Scud,Acessorios,Moto,Foz do Iguacu,PR,Sul,E-commerce,1,59.9,28.75,59.9,28.75,31.15
2024-01-01,2024-01,SCD-ACE-003,Capa de Chuva Scud Moto,Scud,Acessorios,Moto,Belem,PA,Norte,E-commerce,1,59.9,28.75,59.9,28.75,31.15
2024-01-02,2024-01,SCD-ACE-005,Spoiler Traseiro Scud Honda CG,Scud,Acessorios,Moto,Ribeirao Preto,SP,Sudeste,E-commerce,1,82.71,43.15,82.71,43.15,39.56
2024-01-02,2024-01,SCD-ACE-005,Spoiler Traseiro Scud Honda CG,Scud,Acessorios,Moto,Sao Paulo,SP,Sudeste,Distribuidores,1,85.4,43.15,85.4,43.15,42.25
2024-01-02,2024-01,HO-ACE-004,Camiseta HighOne Dry-Fit Ciclismo,HighOne,Acessorios,Bike,Rio de Janeiro,RJ,Sudeste,Distribuidores,1,79.9,42.35,79.9,42.35,37.55
2024-01-02,2024-01,HO-ACE-004,Camiseta HighOne Dry-Fit Ciclismo,HighOne,Acessorios,Bike,Ribeirao Preto,SP,Sudeste,Varejo Fisico,1,79.9,42.35,79.9,42.35,37.55
2024-01-02,2024-01,VES-JAQ-001,Jaqueta Vessel Basic Urban,Vessel,Jaquetas,Moto,Ribeirao Preto,SP,Sudeste,E-commerce,1,239.11,98.76,239.11,98.76,140.35
2024-01-02,2024-01,X11-LUV-004,Luva X11 Thermic Segunda Pele,X11,Luvas,Moto,Cuiaba,MT,Centro-Oeste,E-commerce,1,89.9,38.66,89.9,38.66,51.24
2024-01-02,2024-01,SCD-ACE-005,Spoiler Traseiro Scud Honda CG,Scud,Acessorios,Moto,Sao Paulo,SP,Sudeste,Varejo Fisico,1,89.9,43.15,89.9,43.15,46.75
2024-01-02,2024-01,SCD-ACE-005,Spoiler Traseiro Scud Honda CG,Scud,Acessorios,Moto,Porto Alegre,RS,Sul,E-commerce,1,89.9,43.15,89.9,43.15,46.75
2024-01-02,2024-01,SCD-ACE-001,Viseira Scud Fume Universal,Scud,Acessorios,Moto,Rio de Janeiro,RJ,Sudeste,E-commerce,1,79.9,38.35,79.9,38.35,41.55
2024-01-02,2024-01,HO-ACE-004,Camiseta HighOne Dry-Fit Ciclismo,HighOne,Acessorios,Bike,Belo Horizonte,MG,Sudeste,Distribuidores,1,75.9,42.35,75.9,42.35,33.55
2024-01-02,2024-01,WGS-CUB-002,Cubo Dianteiro WG Sports Disco 32F,WG Sports,Componentes,Bike,Joinville,SC,Sul,Distribuidores,1,69.0,24.15,69.0,24.15,44.85
2024-01-02,2024-01,SCD-ACE-005,Spoiler Traseiro Scud Honda CG,Scud,Acessorios,Moto,Curitiba,PR,Sul,E-commerce,1,82.71,43.15,82.71,43.15,39.56
2024-01-02,2024-01,SCD-ACE-002,Bagageiro Scud Universal Moto,Scud,Acessorios,Moto,Rio de Janeiro,RJ,Sudeste,E-commerce,1,149.9,71.95,149.9,71.95,77.95
2024-01-02,2024-01,HO-ACE-002,Luva HighOne Trail Gel,HighOne,Luvas,Bike,Ribeirao Preto,SP,Sudeste,E-commerce,1,89.9,47.65,89.9,47.65,42.25
2024-01-02,2024-01,X11-LUV-004,Luva X11 Thermic Segunda Pele,X11,Luvas,Moto,Campinas,SP,Sudeste,Varejo Fisico,1,89.9,38.66,89.9,38.66,51.24
2024-01-02,2024-01,WGS-ROL-001,Roldana Cambio WG Sports Alu 11d,WG Sports,Componentes,Bike,Vitoria,ES,Sudeste,Varejo Fisico,1,39.0,13.65,39.0,13.65,25.35
2024-01-02,2024-01,SCD-ACE-004,Antena Scud Curta Universal,Scud,Acessorios,Moto,Rio de Janeiro,RJ,Sudeste,Varejo Fisico,1,29.9,14.35,29.9,14.35,15.55
2024-01-02,2024-01,WGS-ROL-001,Roldana Cambio WG Sports Alu 11d,WG Sports,Componentes,Bike,Manaus,AM,Norte,Varejo Fisico,1,39.0,13.65,39.0,13.65,25.35
2024-01-02,2024-01,SCD-ACE-004,Antena Scud Curta Universal,Scud,Acessorios,Moto,Campo Grande,MS,Centro-Oeste,Distribuidores,1,29.9,14.35,29.9,14.35,15.55
2024-01-02,2024-01,X11-LUV-001,Luva X11 Route 2 Couro,X11,Luvas,Moto,Nova Lima,MG,Sudeste,E-commerce,1,189.9,81.66,189.9,81.66,108.24
2024-01-02,2024-01,SCD-ACE-004,Antena Scud Curta Universal,Scud,Acessorios,Moto,Rio de Janeiro,RJ,Sudeste,Distribuidores,1,29.9,14.35,29.9,14.35,15.55
2024-01-02,2024-01,SCD-ACE-003,Capa de Chuva Scud Moto,Scud,Acessorios,Moto,Nova Lima,MG,Sudeste,E-commerce,1,59.9,28.75,59.9,28.75,31.15
2024-01-03,2024-01,WGS-CUB-002,Cubo Dianteiro WG Sports Disco 32F,WG Sports,Componentes,Bike,Nova Lima,MG,Sudeste,Varejo Fisico,1,69.0,24.15,69.0,24.15,44.85
2024-01-03,2024-01,SCD-ACE-004,Antena Scud Curta Universal,Scud,Acessorios,Moto,Foz do Iguacu,PR,Sul,E-commerce,1,29.9,14.35,29.9,14.35,15.55
2024-01-03,2024-01,SCD-ACE-001,Viseira Scud Fume Universal,Scud,Acessorios,Moto,Goiania,GO,Centro-Oeste,E-commerce,1,79.9,38.35,79.9,38.35,41.55
2024-01-03,2024-01,HO-ACE-004,Camiseta HighOne Dry-Fit Ciclismo,HighOne,Acessorios,Bike,Vitoria,ES,Sudeste,E-commerce,1,79.9,42.35,79.9,42.35,37.55
2024-01-03,2024-01,X11-LUV-004,Luva X11 Thermic Segunda Pele,X11,Luvas,Moto,Sao Paulo,SP,Sudeste,Distribuidores,1,85.4,38.66,85.4,38.66,46.74
2024-01-03,2024-01,SCD-ACE-003,Capa de Chuva Scud Moto,Scud,Acessorios,Moto,Sao Paulo,SP,Sudeste,E-commerce,1,59.9,28.75,59.9,28.75,31.15
2024-01-03,2024-01,WGS-ROL-001,Roldana Cambio WG Sports Alu 11d,WG Sports,Componentes,Bike,Nova Lima,MG,Sudeste,Marketplace,1,39.0,13.65,39.0,13.65,25.35
2024-01-03,2024-01,SCD-ACE-004,Antena Scud Curta Universal,Scud,Acessorios,Moto,Curitiba,PR,Sul,E-commerce,1,26.91,14.35,26.91,14.35,12.56
2024-01-03,2024-01,WGS-ROL-001,Roldana Cambio WG Sports Alu 11d,WG Sports,Componentes,Bike,Salvador,BA,Nordeste,E-commerce,1,39.0,13.65,39.0,13.65,25.35
2024-01-03,2024-01,SCD-ACE-005,Spoiler Traseiro Scud Honda CG,Scud,Acessorios,Moto,Maringa,PR,Sul,E-commerce,1,89.9,43.15,89.9,43.15,46.75
2024-01-03,2024-01,WGS-CUB-002,Cubo Dianteiro WG Sports Disco 32F,WG Sports,Componentes,Bike,Brasilia,DF,Centro-Oeste,E-commerce,1,69.0,24.15,69.0,24.15,44.85
2024-01-03,2024-01,HO-ACE-002,Luva HighOne Trail Gel,HighOne,Luvas,Bike,Belo Horizonte,MG,Sudeste,Marketplace,1,89.9,47.65,89.9,47.65,42.25
2024-01-03,2024-01,SCD-ACE-001,Viseira Scud Fume Universal,Scud,Acessorios,Moto,Sao Paulo,SP,Sudeste,Distribuidores,1,79.9,38.35,79.9,38.35,41.55
2024-01-03,2024-01,HO-ACE-002,Luva HighOne Trail Gel,HighOne,Luvas,Bike,Belo Horizonte,MG,Sudeste,Varejo Fisico,1,89.9,47.65,89.9,47.65,42.25
2024-01-03,2024-01,SCD-ACE-005,Spoiler Traseiro Scud Honda CG,Scud,Acessorios,Moto,Belo Horizonte,MG,Sudeste,Distribuidores,1,89.9,43.15,89.9,43.15,46.75
2024-01-04,2024-01,VES-LUV-001,Luva Vessel Street Ventilada,Vessel,Luvas,Moto,Nova Lima,MG,Sudeste,E-commerce,1,119.9,45.56,119.9,45.56,74.34
2024-01-04,2024-01,WGS-KIT-001,Kit Cubo WG Sports Completo,WG Sports,Componentes,Bike,Campinas,SP,Sudeste,Varejo Fisico,1,149.0,52.15,149.0,52.15,96.85
2024-01-04,2024-01,HO-ACE-004,Camiseta HighOne Dry-Fit Ciclismo,HighOne,Acessorios,Bike,Rio de Janeiro,RJ,Sudeste,E-commerce,1,79.9,42.35,79.9,42.35,37.55
2024-01-04,2024-01,WGS-CUB-002,Cubo Dianteiro WG Sports Disco 32F,WG Sports,Componentes,Bike,Porto Alegre,RS,Sul,E-commerce,1,69.0,24.15,69.0,24.15,44.85
2024-01-04,2024-01,SCD-ACE-004,Antena Scud Curta Universal,Scud,Acessorios,Moto,Goiania,GO,Centro-Oeste,E-commerce,1,29.9,14.35,29.9,14.35,15.55
2024-01-04,2024-01,X11-LUV-004,Luva X11 Thermic Segunda Pele,X11,Luvas,Moto,Belo Horizonte,MG,Sudeste,Distribuidores,1,89.9,38.66,89.9,38.66,51.24
2024-01-04,2024-01,X11-LUV-004,Luva X11 Thermic Segunda Pele,X11,Luvas,Moto,Belo Horizonte,MG,Sudeste,Marketplace,1,89.9,38.66,89.9,38.66,51.24
2024-01-04,2024-01,X11-LUV-003,Luva X11 Impact 2 Cano Longo,X11,Luvas,Moto,Nova Lima,MG,Sudeste,E-commerce,1,202.31,98.86,202.31,98.86,103.45
2024-01-04,2024-01,SCD-ACE-004,Antena Scud Curta Universal,Scud,Acessorios,Moto,Vitoria,ES,Sudeste,Distribuidores,1,27.51,14.35,27.51,14.35,13.16
2024-01-04,2024-01,SCD-ACE-005,Spoiler Traseiro Scud Honda CG,Scud,Acessorios,Moto,Belo Horizonte,MG,Sudeste,Varejo Fisico,1,89.9,43.15,89.9,43.15,46.75
2024-01-04,2024-01,WGS-CUB-001,Cubo Traseiro WG Sports Disco 36F,WG Sports,Componentes,Bike,Belem,PA,Norte,E-commerce,1,89.0,31.15,89.0,31.15,57.85
2024-01-05,2024-01,WGS-CUB-002,Cubo Dianteiro WG Sports Disco 32F,WG Sports,Componentes,Bike,Vitoria,ES,Sudeste,Varejo Fisico,1,69.0,24.15,69.0,24.15,44.85
2024-01-05,2024-01,WGS-CUB-002,Cubo Dianteiro WG Sports Disco 32F,WG Sports,Componentes,Bike,Rio de Janeiro,RJ,Sudeste,Marketplace,1,69.0,24.15,69.0,24.15,44.85
2024-01-05,2024-01,WGS-CUB-002,Cubo Dianteiro WG Sports Disco 32F,WG Sports,Componentes,Bike,Rio de Janeiro,RJ,Sudeste,E-commerce,1,69.0,24.15,69.0,24.15,44.85
2024-01-05,2024-01,WGS-CUB-002,Cubo Dianteiro WG Sports Disco 32F,WG Sports,Componentes,Bike,Ribeirao Preto,SP,Sudeste,E-commerce,1,69.0,24.15,69.0,24.15,44.85
2024-01-05,2024-01,X11-LUV-003,Luva X11 Impact 2 Cano Longo,X11,Luvas,Moto,Ribeirao Preto,SP,Sudeste,E-commerce,1,211.51,98.86,211.51,98.86,112.65
2024-01-05,2024-01,SCD-ACE-005,Spoiler Traseiro Scud Honda CG,Scud,Acessorios,Moto,Fortaleza,CE,Nordeste,E-commerce,1,85.4,43.15,85.4,43.15,42.25
2024-01-05,2024-01,SCD-ACE-005,Spoiler Traseiro Scud Honda CG,Scud,Acessorios,Moto,Sao Paulo,SP,Sudeste,E-commerce,1,80.91,43.15,80.91,43.15,37.76
2024-01-05,2024-01,WGS-CUB-001,Cubo Traseiro WG Sports Disco 36F,WG Sports,Componentes,Bike,Nova Lima,MG,Sudeste,Distribuidores,1,89.0,31.15,89.0,31.15,57.85
2024-01-05,2024-01,WGS-CUB-001,Cubo Traseiro WG Sports Disco 36F,WG Sports,Componentes,Bike,Nova Lima,MG,Sudeste,E-commerce,1,80.1,31.15,80.1,31.15,48.95
2024-01-05,2024-01,HO-ACE-004,Camiseta HighOne Dry-Fit Ciclismo,HighOne,Acessorios,Bike,Campo Grande,MS,Centro-Oeste,Distribuidores,1,79.9,42.35,79.9,42.35,37.55
2024-01-05,2024-01,VES-CAL-001,Calca Vessel Urban Stretch,Vessel,Calcas,Moto,Sao Paulo,SP,Sudeste,E-commerce,1,299.9,113.96,299.9,113.96,185.94
2024-01-05,2024-01,WGS-ROL-001,Roldana Cambio WG Sports Alu 11d,WG Sports,Componentes,Bike,Nova Lima,MG,Sudeste,Distribuidores,1,39.0,13.65,39.0,13.65,25.35
2024-01-06,2024-01,SCD-ACE-003,Capa de Chuva Scud Moto,Scud,Acessorios,Moto,Nova Lima,MG,Sudeste,Varejo Fisico,1,59.9,28.75,59.9,28.75,31.15
2024-01-06,2024-01,HO-ACE-004,Camiseta HighOne Dry-Fit Ciclismo,HighOne,Acessorios,Bike,Curitiba,PR,Sul,E-commerce,1,73.51,42.35,73.51,42.35,31.16
2024-01-06,2024-01,WGS-CUB-001,Cubo Traseiro WG Sports Disco 36F,WG Sports,Componentes,Bike,Brasilia,DF,Centro-Oeste,E-commerce,1,89.0,31.15,89.0,31.15,57.85
2024-01-06,2024-01,WGS-ROL-001,Roldana Cambio WG Sports Alu 11d,WG Sports,Componentes,Bike,Campo Grande,MS,Centro-Oeste,Varejo Fisico,1,39.0,13.65,39.0,13.65,25.35
2024-01-06,2024-01,HO-ACE-002,Luva HighOne Trail Gel,HighOne,Luvas,Bike,Nova Lima,MG,Sudeste,Distribuidores,1,89.9,47.65,89.9,47.65,42.25
2024-01-06,2024-01,WGS-CUB-002,Cubo Dianteiro WG Sports Disco 32F,WG Sports,Componentes,Bike,Nova Lima,MG,Sudeste,Marketplace,1,69.0,24.15,69.0,24.15,44.85
2024-01-06,2024-01,WGS-CUB-002,Cubo Dianteiro WG Sports Disco 32F,WG Sports,Componentes,Bike,Belo Horizonte,MG,Sudeste,E-commerce,1,69.0,24.15,69.0,24.15,44.85
2024-01-06,2024-01,HO-ACE-004,Camiseta HighOne Dry-Fit Ciclismo,HighOne,Acessorios,Bike,Campinas,SP,Sudeste,Varejo Fisico,1,79.9,42.35,79.9,42.35,37.55
2024-01-06,2024-01,X11-LUV-004,Luva X11 Thermic Segunda Pele,X11,Luvas,Moto,Campo Grande,MS,Centro-Oeste,E-commerce,1,89.9,38.66,89.9,38.66,51.24
2024-01-06,2024-01,WGS-CUB-001,Cubo Traseiro WG Sports Disco 36F,WG Sports,Componentes,Bike,Sao Paulo,SP,Sudeste,E-commerce,1,89.0,31.15,89.0,31.15,57.85
2024-01-07,2024-01,X11-LUV-001,Luva X11 Route 2 Couro,X11,Luvas,Moto,Rio de Janeiro,RJ,Sudeste,E-commerce,1,189.9,81.66,189.9,81.66,108.24
2024-01-07,2024-01,WGS-ROL-001,Roldana Cambio WG Sports Alu 11d,WG Sports,Componentes,Bike,Ribeirao Preto,SP,Sudeste,Distribuidores,1,39.0,13.65,39.0,13.65,25.35
2024-01-07,2024-01,WGS-ROL-001,Roldana Cambio WG Sports Alu 11d,WG Sports,Componentes,Bike,Ribeirao Preto,SP,Sudeste,E-commerce,1,39.0,13.65,39.0,13.65,25.35
2024-01-07,2024-01,HO-ACE-002,Luva HighOne Trail Gel,HighOne,Luvas,Bike,Ribeirao Preto,SP,Sudeste,Distribuidores,1,89.9,47.65,89.9,47.65,42.25
2024-01-07,2024-01,WGS-CUB-001,Cubo Traseiro WG Sports Disco 36F,WG Sports,Componentes,Bike,Vitoria,ES,Sudeste,Varejo Fisico,1,89.0,31.15,89.0,31.15,57.85
2024-01-07,2024-01,SCD-ACE-005,Spoiler Traseiro Scud Honda CG,Scud,Acessorios,Moto,Ribeirao Preto,SP,Sudeste,Distribuidores,1,80.91,43.15,80.91,43.15,37.76
2024-01-07,2024-01,SCD-ACE-003,Capa de Chuva Scud Moto,Scud,Acessorios,Moto,Goiania,GO,Centro-Oeste,E-commerce,1,52.71,28.75,52.71,28.75,23.96
2024-01-07,2024-01,HO-ACE-002,Luva HighOne Trail Gel,HighOne,Luvas,Bike,Londrina,PR,Sul,E-commerce,1,85.4,47.65,85.4,47.65,37.75
2024-01-07,2024-01,HO-ACE-002,Luva HighOne Trail Gel,HighOne,Luvas,Bike,Belo Horizonte,MG,Sudeste,E-commerce,1,89.9,47.65,89.9,47.65,42.25
2024-01-07,2024-01,SCD-ACE-001,Viseira Scud Fume Universal,Scud,Acessorios,Moto,Florianopolis,SC,Sul,E-commerce,1,79.9,38.35,79.9,38.35,41.55
2024-01-08,2024-01,WGS-CUB-001,Cubo Traseiro WG Sports Disco 36F,WG Sports,Componentes,Bike,Foz do Iguacu,PR,Sul,Varejo Fisico,1,89.0,31.15,89.0,31.15,57.85
2024-01-08,2024-01,SCD-ACE-004,Antena Scud Curta Universal,Scud,Acessorios,Moto,Goiania,GO,Centro-Oeste,Varejo Fisico,1,28.4,14.35,28.4,14.35,14.05
2024-01-08,2024-01,X11-LUV-003,Luva X11 Impact 2 Cano Longo,X11,Luvas,Moto,Campinas,SP,Sudeste,E-commerce,1,229.9,98.86,229.9,98.86,131.04
2024-01-08,2024-01,X11-LUV-001,Luva X11 Route 2 Couro,X11,Luvas,Moto,Vitoria,ES,Sudeste,E-commerce,1,174.71,81.66,174.71,81.66,93.05
2024-01-08,2024-01,HO-ACE-002,Luva HighOne Trail Gel,HighOne,Luvas,Bike,Goiania,GO,Centro-Oeste,E-commerce,1,89.9,47.65,89.9,47.65,42.25
2024-01-08,2024-01,SCD-ACE-004,Antena Scud Curta Universal,Scud,Acessorios,Moto,Cuiaba,MT,Centro-Oeste,E-commerce,1,27.51,14.35,27.51,14.35,13.16
2024-01-08,2024-01,SCD-ACE-004,Antena Scud Curta Universal,Scud,Acessorios,Moto,Nova Lima,MG,Sudeste,Varejo Fisico,1,29.9,14.35,29.9,14.35,15.55
2024-01-08,2024-01,X11-LUV-004,Luva X11 Thermic Segunda Pele,X11,Luvas,Moto,Belo Horizonte,MG,Sudeste,Varejo Fisico,1,89.9,38.66,89.9,38.66,51.24
2024-01-08,2024-01,WGS-CUB-001,Cubo Traseiro WG Sports Disco 36F,WG Sports,Componentes,Bike,Campo Grande,MS,Centro-Oeste,E-commerce,1,89.0,31.15,89.0,31.15,57.85
2024-01-08,2024-01,SCD-ACE-005,Spoiler Traseiro Scud Honda CG,Scud,Acessorios,Moto,Manaus,AM,Norte,E-commerce,1,80.91,43.15,80.91,43.15,37.76
2024-01-08,2024-01,X11-LUV-004,Luva X11 Thermic Segunda Pele,X11,Luvas,Moto,Salvador,BA,Nordeste,E-commerce,1,85.4,38.66,85.4,38.66,46.74
2024-01-08,2024-01,SCD-ACE-005,Spoiler Traseiro Scud Honda CG,Scud,Acessorios,Moto,Vitoria,ES,Sudeste,Varejo Fisico,1,89.9,43.15,89.9,43.15,46.75
2024-01-08,2024-01,X11-LUV-005,Luva X11 Nitro 4,X11,Luvas,Moto,Sao Paulo,SP,Sudeste,Varejo Fisico,1,128.71,60.16,128.71,60.16,68.55
2024-01-08,2024-01,HO-ACE-004,Camiseta HighOne Dry-Fit Ciclismo,HighOne,Acessorios,Bike,Vitoria,ES,Sudeste,Marketplace,1,79.9,42.35,79.9,42.35,37.55
2024-01-08,2024-01,HO-ACE-002,Luva HighOne Trail Gel,HighOne,Luvas,Bike,Rio de Janeiro,RJ,Sudeste,Varejo Fisico,1,89.9,47.65,89.9,47.65,42.25
2024-01-08,2024-01,WGS-CUB-002,Cubo Dianteiro WG Sports Disco 32F,WG Sports,Componentes,Bike,Foz do Iguacu,PR,Sul,E-commerce,1,69.0,24.15,69.0,24.15,44.85
2024-01-08,2024-01,WGS-ROL-001,Roldana Cambio WG Sports Alu 11d,WG Sports,Componentes,Bike,Nova Lima,MG,Sudeste,Varejo Fisico,1,35.88,13.65,35.88,13.65,22.23
2024-01-09,2024-01,SCD-ACE-004,Antena Scud Curta Universal,Scud,Acessorios,Moto,Sao Paulo,SP,Sudeste,E-commerce,2,29.9,14.35,59.8,28.7,31.1
2024-01-09,2024-01,SCD-ACE-004,Antena Scud Curta Universal,Scud,Acessorios,Moto,Ribeirao Preto,SP,Sudeste,E-commerce,1,29.9,14.35,29.9,14.35,15.55
2024-01-09,2024-01,WGS-CUB-002,Cubo Dianteiro WG Sports Disco 32F,WG Sports,Componentes,Bike,Manaus,AM,Norte,E-commerce,1,69.0,24.15,69.0,24.15,44.85
2024-01-09,2024-01,HO-ACE-002,Luva HighOne Trail Gel,HighOne,Luvas,Bike,Sao Paulo,SP,Sudeste,Varejo Fisico,1,89.9,47.65,89.9,47.65,42.25
2024-01-09,2024-01,SCD-ACE-004,Antena Scud Curta Universal,Scud,Acessorios,Moto,Vitoria,ES,Sudeste,Marketplace,1,29.9,14.35,29.9,14.35,15.55
2024-01-09,2024-01,WGS-CUB-001,Cubo Traseiro WG Sports Disco 36F,WG Sports,Componentes,Bike,Florianopolis,SC,Sul,E-commerce,1,89.0,31.15,89.0,31.15,57.85
2024-01-09,2024-01,WGS-CUB-002,Cubo Dianteiro WG Sports Disco 32F,WG Sports,Componentes,Bike,Vitoria,ES,Sudeste,E-commerce,1,69.0,24.15,69.0,24.15,44.85
2024-01-09,2024-01,HO-ACE-004,Camiseta HighOne Dry-Fit Ciclismo,HighOne,Acessorios,Bike,Ribeirao Preto,SP,Sudeste,E-commerce,1,79.9,42.35,79.9,42.35,37.55
2024-01-09,2024-01,WGS-CUB-001,Cubo Traseiro WG Sports Disco 36F,WG Sports,Componentes,Bike,Campinas,SP,Sudeste,E-commerce,1,89.0,31.15,89.0,31.15,57.85
2024-01-09,2024-01,WGS-ROL-001,Roldana Cambio WG Sports Alu 11d,WG Sports,Componentes,Bike,Rio de Janeiro,RJ,Sudeste,Marketplace,1,39.0,13.65,39.0,13.65,25.35
2024-01-09,2024-01,HO-ACE-002,Luva HighOne Trail Gel,HighOne,Luvas,Bike,Ribeirao Preto,SP,Sudeste,Marketplace,1,89.9,47.65,89.9,47.65,42.25
2024-01-09,2024-01,X11-JAQ-005,Jaqueta X11 One Sport Masculina,X11,Jaquetas,Moto,Sao Paulo,SP,Sudeste,E-commerce,1,299.9,128.96,299.9,128.96,170.94
2024-01-09,2024-01,SCD-ACE-001,Viseira Scud Fume Universal,Scud,Acessorios,Moto,Caxias do Sul,RS,Sul,E-commerce,1,79.9,38.35,79.9,38.35,41.55
2024-01-09,2024-01,SCD-ACE-001,Viseira Scud Fume Universal,Scud,Acessorios,Moto,Londrina,PR,Sul,E-commerce,1,79.9,38.35,79.9,38.35,41.55
2024-01-09,2024-01,SCD-ACE-001,Viseira Scud Fume Universal,Scud,Acessorios,Moto,Joinville,SC,Sul,E-commerce,1,79.9,38.35,79.9,38.35,41.55
2024-01-09,2024-01,SCD-ACE-003,Capa de Chuva Scud Moto,Scud,Acessorios,Moto,Curitiba,PR,Sul,Varejo Fisico,1,59.9,28.75,59.9,28.75,31.15
2024-01-09,2024-01,SCD-ACE-003,Capa de Chuva Scud Moto,Scud,Acessorios,Moto,Rio de Janeiro,RJ,Sudeste,Varejo Fisico,1,56.9,28.75,56.9,28.75,28.15
2024-01-09,2024-01,SCD-ACE-001,Viseira Scud Fume Universal,Scud,Acessorios,Moto,Vitoria,ES,Sudeste,Distribuidores,1,79.9,38.35,79.9,38.35,41.55
2024-01-10,2024-01,X11-LUV-004,Luva X11 Thermic Segunda Pele,X11,Luvas,Moto,Rio de Janeiro,RJ,Sudeste,E-commerce,1,89.9,38.66,89.9,38.66,51.24
2024-01-10,2024-01,SCD-ACE-004,Antena Scud Curta Universal,Scud,Acessorios,Moto,Belo Horizonte,MG,Sudeste,Distribuidores,1,29.9,14.35,29.9,14.35,15.55
2024-01-10,2024-01,WGS-CUB-002,Cubo Dianteiro WG Sports Disco 32F,WG Sports,Componentes,Bike,Ponta Grossa,PR,Sul,E-commerce,1,63.48,24.15,63.48,24.15,39.33
2024-01-10,2024-01,SCD-ACE-003,Capa de Chuva Scud Moto,Scud,Acessorios,Moto,Belo Horizonte,MG,Sudeste,E-commerce,1,55.11,28.75,55.11,28.75,26.36
2024-01-11,2024-01,SCD-ACE-005,Spoiler Traseiro Scud Honda CG,Scud,Acessorios,Moto,Curitiba,PR,Sul,Varejo Fisico,1,89.9,43.15,89.9,43.15,46.75
2024-01-11,2024-01,X11-LUV-004,Luva X11 Thermic Segunda Pele,X11,Luvas,Moto,Nova Lima,MG,Sudeste,E-commerce,1,89.9,38.66,89.9,38.66,51.24
2024-01-11,2024-01,X11-LUV-004,Luva X11 Thermic Segunda Pele,X11,Luvas,Moto,Foz do Iguacu,PR,Sul,E-commerce,1,89.9,38.66,89.9,38.66,51.24
2024-01-11,2024-01,SCD-ACE-001,Viseira Scud Fume Universal,Scud,Acessorios,Moto,Vitoria,ES,Sudeste,E-commerce,1,79.9,38.35,79.9,38.35,41.55
2024-01-11,2024-01,SCD-ACE-003,Capa de Chuva Scud Moto,Scud,Acessorios,Moto,Ribeirao Preto,SP,Sudeste,Varejo Fisico,1,59.9,28.75,59.9,28.75,31.15
2024-01-11,2024-01,VES-JAQ-001,Jaqueta Vessel Basic Urban,Vessel,Jaquetas,Moto,Nova Lima,MG,Sudeste,E-commerce,1,259.9,98.76,259.9,98.76,161.14
